disk- -------------------reads------------------- -------------------writes------------------ ------IO------- -----timestamp-----
          total    merged     sectors          ms     total    merged     sectors          ms     cur     sec                 CST
nvme9n1    132692         0    16476880       81397  24309661         0   637886207    11906865       0   10492 2025-11-13 15:49:11
nvme8n1    129696         0    16069286      116606  24150903         0   637886207    14341891       0   12130 2025-11-13 15:49:11
nvme7n1    122253         0    15857792       85208  31658498         0   791180296    17771439       0   15476 2025-11-13 15:49:11
nvme6n1    118617         0    15716068       78535  30884405         0   791180296    31734975       0   21397 2025-11-13 15:49:11
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 15:49:16
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 15:49:16
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 15:49:16
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 15:49:16
nvme0n1       631         0       67492         796    251136         0    36426966      175144       0     117 2025-11-13 15:49:16
nvme1n1       682         0       76400         354    260766         0    36432962       82073       0      62 2025-11-13 15:49:16
nvme2n1      1432         0      266274         276    602878         0   105791672       55799       0      41 2025-11-13 15:49:16
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 15:49:16
nvme4n1    786980    195320   116463359      204930  13735841   5844498   342796468    12872040       0    4221 2025-11-13 15:49:16
nvme3n1      1437         0      273306         385    593518         0   105791672       67857       0      42 2025-11-13 15:49:16
nvme9n1    132692         0    16476880       81397  24309731         0   637886937    11906877       0   10492 2025-11-13 15:49:16
nvme8n1    129696         0    16069286      116606  24150974         0   637886937    14341903       0   12130 2025-11-13 15:49:16
nvme7n1    122253         0    15857792       85208  31658596         0   791181578    17771451       0   15476 2025-11-13 15:49:16
nvme6n1    118617         0    15716068       78535  30884493         0   791181578    31735005       0   21397 2025-11-13 15:49:16
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 15:49:21
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 15:49:21
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 15:49:21
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 15:49:21
nvme0n1       631         0       67492         796    251246         0    36433490      175262       0     117 2025-11-13 15:49:21
nvme1n1       682         0       76400         354    260844         0    36433490       82077       0      62 2025-11-13 15:49:21
nvme2n1      1432         0      266274         276    602961         0   105792188       55809       0      41 2025-11-13 15:49:21
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 15:49:21
nvme4n1    786980    195320   116463359      204930  13735875   5844499   342796844    12872094       0    4221 2025-11-13 15:49:21
nvme3n1      1437         0      273306         385    593603         0   105792188       67865       0      42 2025-11-13 15:49:21
nvme9n1    132692         0    16476880       81397  24309731         0   637886937    11906877       0   10492 2025-11-13 15:49:21
nvme8n1    129696         0    16069286      116606  24150974         0   637886937    14341903       0   12130 2025-11-13 15:49:21
nvme7n1    122253         0    15857792       85208  31658596         0   791181578    17771451       0   15476 2025-11-13 15:49:21
nvme6n1    118617         0    15716068       78535  30884493         0   791181578    31735005       0   21397 2025-11-13 15:49:21
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 15:49:26
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 15:49:26
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 15:49:26
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 15:49:26
nvme0n1       631         0       67492         796    251351         0    36438715      175436       0     117 2025-11-13 15:49:26
nvme1n1       682         0       76400         354    260957         0    36438715       82105       0      62 2025-11-13 15:49:26
nvme2n1      1432         0      266274         276    603095         0   105801303       55833       0      41 2025-11-13 15:49:26
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 15:49:26
nvme4n1    786980    195320   116463359      204930  13735878   5844503   342796900    12872111       0    4221 2025-11-13 15:49:26
nvme3n1      1437         0      273306         385    593723         0   105801303       67926       0      42 2025-11-13 15:49:26
nvme9n1    132692         0    16476880       81397  24309731         0   637886937    11906877       0   10492 2025-11-13 15:49:26
nvme8n1    129696         0    16069286      116606  24150974         0   637886937    14341903       0   12130 2025-11-13 15:49:26
nvme7n1    122253         0    15857792       85208  31658596         0   791181578    17771451       0   15476 2025-11-13 15:49:26
nvme6n1    118617         0    15716068       78535  30884493         0   791181578    31735005       0   21397 2025-11-13 15:49:26
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 15:49:31
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 15:49:31
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 15:49:31
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 15:49:31
nvme0n1       631         0       67492         796    251457         0    36448495      175552       0     117 2025-11-13 15:49:31
nvme1n1       682         0       76400         354    261074         0    36448495       82125       0      62 2025-11-13 15:49:31
nvme2n1      1432         0      266274         276    603267         0   105817757       55851       0      41 2025-11-13 15:49:31
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 15:49:31
nvme4n1    786980    195320   116463359      204930  13735909   5844514   342797236    12872228       0    4221 2025-11-13 15:49:31
nvme3n1      1437         0      273306         385    593866         0   105817757       67970       0      42 2025-11-13 15:49:31
nvme9n1    132692         0    16476880       81397  24309731         0   637886937    11906877       0   10492 2025-11-13 15:49:31
nvme8n1    129696         0    16069286      116606  24150974         0   637886937    14341903       0   12130 2025-11-13 15:49:31
nvme7n1    122253         0    15857792       85208  31658596         0   791181578    17771451       0   15476 2025-11-13 15:49:31
nvme6n1    118617         0    15716068       78535  30884493         0   791181578    31735005       0   21397 2025-11-13 15:49:31
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 15:49:36
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 15:49:36
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 15:49:36
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 15:49:36
nvme0n1       631         0       67492         796    251543         0    36453647      175727       0     117 2025-11-13 15:49:36
nvme1n1       682         0       76400         354    261161         0    36453647       82162       0      62 2025-11-13 15:49:36
nvme2n1      1432         0      266274         276    603363         0   105824736       55874       0      41 2025-11-13 15:49:36
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 15:49:36
nvme4n1    786980    195320   116463359      204930  13735911   5844522   342797316    12872239       0    4221 2025-11-13 15:49:36
nvme3n1      1437         0      273306         385    593968         0   105824736       68032       0      42 2025-11-13 15:49:36
nvme9n1    132692         0    16476880       81397  24309731         0   637886937    11906877       0   10492 2025-11-13 15:49:36
nvme8n1    129696         0    16069286      116606  24150974         0   637886937    14341903       0   12130 2025-11-13 15:49:36
nvme7n1    122253         0    15857792       85208  31658596         0   791181578    17771451       0   15476 2025-11-13 15:49:36
nvme6n1    118617         0    15716068       78535  30884493         0   791181578    31735005       0   21397 2025-11-13 15:49:36
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 15:49:41
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 15:49:41
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 15:49:41
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 15:49:41
nvme0n1       631         0       67492         796    251677         0    36467574      175858       0     117 2025-11-13 15:49:41
nvme1n1       682         0       76400         354    261305         0    36467574       82200       0      62 2025-11-13 15:49:41
nvme2n1      1432         0      266274         276    603521         0   105840355       55900       0      41 2025-11-13 15:49:41
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 15:49:41
nvme4n1    786980    195320   116463359      204930  13735913   5844531   342797404    12872249       0    4221 2025-11-13 15:49:41
nvme3n1      1437         0      273306         385    594107         0   105840355       68079       0      42 2025-11-13 15:49:41
nvme9n1    132692         0    16476880       81397  24309804         0   637887500    11906889       0   10492 2025-11-13 15:49:41
nvme8n1    129696         0    16069286      116606  24151047         0   637887500    14341914       0   12130 2025-11-13 15:49:41
nvme7n1    122253         0    15857792       85208  31658725         0   791182596    17771463       0   15476 2025-11-13 15:49:41
nvme6n1    118617         0    15716068       78535  30884615         0   791182596    31735032       0   21397 2025-11-13 15:49:41
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 15:49:46
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 15:49:46
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 15:49:46
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 15:49:46
nvme0n1       631         0       67492         796    251834         0    36489133      175993       0     118 2025-11-13 15:49:46
nvme1n1       682         0       76400         354    261475         0    36489133       82245       0      62 2025-11-13 15:49:46
nvme2n1      1432         0      266274         276    603783         0   105867842       55928       0      41 2025-11-13 15:49:46
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 15:49:46
nvme4n1    786980    195320   116463359      204930  13735915   5844532   342797428    12872260       0    4221 2025-11-13 15:49:46
nvme3n1      1437         0      273306         385    594316         0   105867842       68128       0      42 2025-11-13 15:49:46
nvme9n1    132692         0    16476880       81397  24309881         0   637888325    11906901       0   10492 2025-11-13 15:49:46
nvme8n1    129696         0    16069286      116606  24151123         0   637888325    14341926       0   12130 2025-11-13 15:49:46
nvme7n1    122253         0    15857792       85208  31658848         0   791184068    17771477       0   15476 2025-11-13 15:49:46
nvme6n1    118617         0    15716068       78535  30884735         0   791184068    31735064       0   21397 2025-11-13 15:49:46
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 15:49:51
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 15:49:51
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 15:49:51
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 15:49:51
nvme0n1       631         0       67492         796    251990         0    36512994      176128       0     118 2025-11-13 15:49:51
nvme1n1       682         0       76400         354    261648         0    36512994       82285       0      62 2025-11-13 15:49:51
nvme2n1      1432         0      266274         276    604272         0   105956075       55964       0      41 2025-11-13 15:49:51
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 15:49:51
nvme4n1    786980    195320   116463359      204930  13736391   5844711   342820764    12872480       0    4221 2025-11-13 15:49:51
nvme3n1      1437         0      273306         385    594781         0   105956075       68186       0      42 2025-11-13 15:49:51
nvme9n1    132692         0    16476880       81397  24309952         0   637888979    11906912       0   10492 2025-11-13 15:49:51
nvme8n1    129696         0    16069286      116606  24151194         0   637888979    14341936       0   12130 2025-11-13 15:49:51
nvme7n1    122253         0    15857792       85208  31658958         0   791185267    17771490       0   15476 2025-11-13 15:49:51
nvme6n1    118617         0    15716068       78535  30884834         0   791185267    31735092       0   21397 2025-11-13 15:49:51
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 15:49:56
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 15:49:56
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 15:49:56
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 15:49:56
nvme0n1       631         0       67492         796    252134         0    36528022      176262       0     118 2025-11-13 15:49:56
nvme1n1       682         0       76400         354    261794         0    36528022       82366       0      62 2025-11-13 15:49:56
nvme2n1      1432         0      266274         276    604501         0   105986286       56020       0      41 2025-11-13 15:49:56
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 15:49:56
nvme4n1    786980    195320   116463359      204930  13736391   5844711   342820764    12872480       0    4221 2025-11-13 15:49:56
nvme3n1      1437         0      273306         385    595045         0   105986286       68230       0      42 2025-11-13 15:49:56
nvme9n1    132692         0    16476880       81397  24309952         0   637888979    11906912       0   10492 2025-11-13 15:49:56
nvme8n1    129696         0    16069286      116606  24151194         0   637888979    14341936       0   12130 2025-11-13 15:49:56
nvme7n1    122253         0    15857792       85208  31658958         0   791185267    17771490       0   15476 2025-11-13 15:49:56
nvme6n1    118617         0    15716068       78535  30884834         0   791185267    31735092       0   21397 2025-11-13 15:49:56
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 15:50:01
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 15:50:01
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 15:50:01
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 15:50:01
nvme0n1       631         0       67492         796    252428         0    36568761      176441       0     118 2025-11-13 15:50:01
nvme1n1       682         0       76400         354    262086         0    36568761       82521       0      62 2025-11-13 15:50:01
nvme2n1      1432         0      266274         276    604790         0   106025554       56123       0      41 2025-11-13 15:50:01
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 15:50:01
nvme4n1    786980    195320   116463359      204930  13736393   5844728   342820916    12872490       0    4221 2025-11-13 15:50:01
nvme3n1      1437         0      273306         385    595355         0   106025554       68270       0      42 2025-11-13 15:50:01
nvme9n1    132692         0    16476880       81397  24310027         0   637889788    11906924       0   10492 2025-11-13 15:50:01
nvme8n1    129696         0    16069286      116606  24151272         0   637889788    14341947       0   12130 2025-11-13 15:50:01
nvme7n1    122253         0    15857792       85208  31659062         0   791186550    17771503       0   15476 2025-11-13 15:50:01
nvme6n1    118617         0    15716068       78535  30884926         0   791186550    31735121       0   21397 2025-11-13 15:50:01
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 15:50:06
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 15:50:06
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 15:50:06
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 15:50:06
nvme0n1       631         0       67492         796    253160         0    36710733      176654       0     118 2025-11-13 15:50:06
nvme1n1       682         0       76400         354    262819         0    36710733       82712       0      62 2025-11-13 15:50:06
nvme2n1      1432         0      266274         276    605909         0   106238686       56258       0      41 2025-11-13 15:50:06
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 15:50:06
nvme4n1    786980    195320   116463359      204930  13736395   5844732   342820964    12872500       0    4221 2025-11-13 15:50:06
nvme3n1      1437         0      273306         385    596478         0   106238686       68360       0      42 2025-11-13 15:50:06
nvme9n1    132692         0    16476880       81397  24310027         0   637889788    11906924       0   10492 2025-11-13 15:50:06
nvme8n1    129696         0    16069286      116606  24151272         0   637889788    14341947       0   12130 2025-11-13 15:50:06
nvme7n1    122253         0    15857792       85208  31659062         0   791186550    17771503       0   15476 2025-11-13 15:50:06
nvme6n1    118617         0    15716068       78535  30884926         0   791186550    31735121       0   21397 2025-11-13 15:50:06
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 15:50:11
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 15:50:11
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 15:50:11
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 15:50:11
nvme0n1       631         0       67492         796    253512         0    36764377      176888       0     118 2025-11-13 15:50:11
nvme1n1       682         0       76400         354    263167         0    36764377       82909       0      63 2025-11-13 15:50:11
nvme2n1      1432         0      266274         276    606513         0   106338376       56398       0      41 2025-11-13 15:50:11
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 15:50:11
nvme4n1    786980    195320   116463359      204930  13736401   5844744   342821684    12872536       0    4221 2025-11-13 15:50:11
nvme3n1      1437         0      273306         385    597149         0   106338376       68425       0      42 2025-11-13 15:50:11
